debug: nixos_rebuild.process: calling run with args=['nix', '--extra-experimental-features', 'nix-command flakes', 'build', '--print-out-paths', '/home/netscape/nixos-dotfiles#nixosConfigurations."Trinity".config.system.build.nixos-rebuild', '-v', '--no-link'], kwargs={'stdout': -1}, env=None, append_local_env=None
evaluating derivation 'git+file:///home/netscape/nixos-dotfiles#nixosConfigurations."Trinity".config.system.build.nixos-rebuild'...
fetching git input 'git+file:///home/netscape/nixos-dotfiles'
warning: Git tree '/home/netscape/nixos-dotfiles' is dirty
linking '/nix/store/ms3chxcrk9dwws7fll3xpkd6i84d0lah-source/.sops.yaml' to '/nix/store/.links/0ksnkc2rc9idql40cfcx2n8c450drr2fqgcn7ri3m5b27gw8bq40'
linking '/nix/store/ms3chxcrk9dwws7fll3xpkd6i84d0lah-source/.gitignore' to '/nix/store/.links/0lzb89m4lc5nw2bk7z4abdxc56wnwm5n9kwrq5zdz47nzqc51a7a'
linking '/nix/store/ms3chxcrk9dwws7fll3xpkd6i84d0lah-source/flake.nix' to '/nix/store/.links/0sr5khh8ychlgxpi89l6122fv4cggrp45gwsjdi36rhxw9l75kfi'
linking '/nix/store/ms3chxcrk9dwws7fll3xpkd6i84d0lah-source/flake.lock' to '/nix/store/.links/1a9pizs20jqp4f5nh7n5pv54497p9arcmkjjcl039bg4hl4vyxz8'
linking '/nix/store/ms3chxcrk9dwws7fll3xpkd6i84d0lah-source/parts/systems.nix' to '/nix/store/.links/0hk5xdgq76ahkj6hj1ijypjmrqw3in79xxajkda4naxnawg3wym3'
linking '/nix/store/ms3chxcrk9dwws7fll3xpkd6i84d0lah-source/parts/den.nix' to '/nix/store/.links/0g16p89n6ac0hv8fswdlb3dnkik2vj3fv1dck2badqp9hlhv00sj'
linking '/nix/store/ms3chxcrk9dwws7fll3xpkd6i84d0lah-source/parts/overlays.nix' to '/nix/store/.links/0k2ilm2z0ah5x41m4lz05pk8n295r8wvyqa2qg0wxy4x4d55f72b'
linking '/nix/store/ms3chxcrk9dwws7fll3xpkd6i84d0lah-source/parts/hosts.nix' to '/nix/store/.links/136zdfxfpfbmjhl82a2mnhms2w7cqv5wxjim3kx542hcqnpcc5k4'
